,upc,url,sku,name,modelNumber,manufacturer,salePrice,shippingCost,dollarSavings,percentSavings,bestSellingRank,customerReviewCount,customerReviewAverage,color,inStoreAvailabilityText,onlineAvailabilityText,description,shortDescription,longDescription,Details: Temperature Control Type,Details: Refrigerator Capacity,Details: Number Of Doors,Details: Freezer Compartment,Details: ENERGY STAR Certified,Details: Humidity-Controlled Crisper,Details: Refrigerator Type,Details: Thru-The-Door Dispenser,Details: Freezer Capacity,Details: Height To Top Of Refrigerator,Details: Water Filtration,Details: Ice Maker,Details: pricematch
104,036725590168,http://www.bestbuy.com/site/samsung-25-5-cu-ft-french-door-refrigerator-white/5100704.p?id=1218612227164&skuId=5100704&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,5100704,Samsung - 25.5 Cu. Ft. French Door Refrigerator - White,RF261BEAEWW,Samsung,1599.99,2.99,400.0,20.0,23264.0,610.0,4.4,White,Store Pickup:,Delivery: Most Areas,,"ENERGY STAR Certified
Twin Cooling Plus system; 5 spill-proof, tempered-glass shelves; 2 humidity-controlled crispers; Cool Select Pantry; 6 gallon-size door bins; freezer drawer with divider",Samsung 25.5 Cu. Ft. French Door Refrigerator with Internal Water Dispenser: Keep snacks and drinks within easy reach of kids with the counter-height pantry drawer and easy-open bottom-freezer. Fresh food stays fresh with advanced humidity-controlled cooling.,Digital,Yes,yes,Yes,Yes,Yes,French Door,Not Applicable,7.9 cubic feet,68.63 inches,Yes,,
105,048231786973,http://www.bestbuy.com/site/lg-22-7-cu-ft-counter-depth-4-door-french-door-refrigerator-with-thru-the-door-ice-and-water-black-stainless-steel/5427048.p?id=1219650465775&skuId=5427048&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,5427048,LG - 22.7 Cu. Ft. Counter-Depth 4-Door French Door Refrigerator with Thru-the-Door Ice and Water - Black Stainless Steel,LMXC23746D,LG,3094.99,2.99,805.0,20.64,23349.0,18.0,4.9,Black Stainless Steel,Store Pickup:,Delivery: Most Areas,,"ENERGY STAR Certified
Smooth-touch controls; Smart Cooling Plus system; 2.8 cu. ft. CustomChill drawer; 4 SpillProtector shelves; 2 humidity-controlled crispers; 6 door bins",Optimize your fresh food storage with this LG LMXC23746D 22.7 cu. ft. refrigerator that features a counter-depth profile for enhancing your kitchen space. The CustomChill drawer uses 4 temperature settings for flexible storage.,Digital,Yes,yes,Yes,Yes,Yes,French Door,Cubed Ice|Water,9.2 cubic feet,68.75 inches,Yes,,
106,012505639104,http://www.bestbuy.com/site/frigidaire-25-6-cu-ft-side-by-side-refrigerator-with-thru-the-door-ice-and-water-ebony-black/5867209.p?id=1219169461291&skuId=5867209&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,5867209,Frigidaire - 25.6 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Ebony Black,FFSS2614QE,Frigidaire,999.99,2.99,0.0,0.0,23468.0,224.0,4.2,Ebony Black,Store Pickup:,Delivery: Most Areas,,Ready-Select digital temperature controls; SpillSafe glass shelves; 2 crisper drawers; 2 adjustable gallon door bins; 2 fixed 2L door bins,"Frigidaire 25.6 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water: The classic side-by-side design provides lots of room to keep frozen groceries chilled and organized. Save money on bottled water with convenient door access to clean, filtered water and ice.",Digital,Yes,yes,Yes,No,No,Side-by-Side,Water,9.1 cubic feet,69.88 inches,Yes,,
107,012505639128,http://www.bestbuy.com/site/frigidaire-22-6-cu-ft-side-by-side-refrigerator-with-thru-the-door-ice-and-water-pearl-white/5867227.p?id=1219169461476&skuId=5867227&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,5867227,Frigidaire - 22.6 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Pearl White,FFSS2314QP,Frigidaire,999.99,2.99,0.0,0.0,23469.0,114.0,4.0,Pearl White,Store Pickup:,Delivery: Most Areas,,Ready-Select electric temperature controls; SpillSafe glass shelves; 2 humidity-controlled crisper drawers; 2 adjustable gallon door bins; 2 fixed 2L door bins,"Frigidaire 22.6 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water: This customizable refrigerator provides more than 100 ways to organize shelves and bins, so you can make the most of your grocery-storage space. The filtered water and ice dispenser is a convenient addition to the kitchen, offering great-tasting water and ice.",Electronic,Yes,yes,Yes,No,Yes,Side-by-Side,Water,8.4 cubic feet,68.63 inches,Yes,,
108,883049360881,http://www.bestbuy.com/site/kitchenaid-20-0-cu-ft-french-door-counter-depth-refrigerator-stainless-steel/5867313.p?id=1219661886394&skuId=5867313&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,5867313,KitchenAid - 20.0 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless Steel,KRFC300ESS,KitchenAid,1799.99,2.99,400.0,18.18,23470.0,11.0,4.1,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Touch controls; ExtendFresh Plus temperature management system; 5 shelves; 2 humidity-controlled crispers; temperature-controlled pantry; upper and lower wire freezer baskets; automatic icemaker,"KitchenAid French door refrigerator: This refrigerator features a spacious interior with 5 shelves and a wine rack, so you can easily organize your groceries. Humidity-controlled crispers and a FreshChill drawer keep fruits and vegetables fresh.",Touch,Yes,yes,Yes,Yes,Yes,French Door,Not Applicable,5.62 cubic feet,68.875 inches,Yes,,
109,887276047768,http://www.bestbuy.com/site/samsung-22-5-cu-ft-counter-depth-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/7676019.p?id=1219286764310&skuId=7676019&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,7676019,Samsung - 22.5 Cu. Ft. Counter-Depth French Door Refrigerator with Thru-the-Door Ice and Water - Stainless-Steel,RF23HTEDBSR,Samsung,3099.99,2.99,800.0,20.51,24451.0,38.0,4.5,Stainless-Steel,Store Pickup:,Delivery: Most Areas,,"ENERGY STAR Certified
Digital temperature controls; Twin Cooling Plus System; power freeze and power cool options; tempered-glass spill-proof shelves; CoolSelect Pantry",This Samsung RF23HTEDBSR counter-depth French door refrigerator features a Food ShowCase fridge door that displays and offers easy reach to regularly used items. The EZ-Open Handle allows simple opening of the freezer door.,Digital,22.5 cubic feet,yes,,Yes,Yes,French Door,Water,,68.88 inches,Yes,,
110,048231786652,http://www.bestbuy.com/site/lg-22-1-cu-ft-side-by-side-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/7902037.p?id=1219300344319&skuId=7902037&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,7902037,LG - 22.1 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel,LSXS22423S,LG,1399.99,2.99,300.0,17.65,24797.0,47.0,4.5,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Electronic LED controls; Smart Cooling and Multi-Airflow systems; 6 temperature sensors; SpillProtector tempered-glass shelves; 4 door baskets; SpacePlus ice system,"LG 22.1 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water: With great looks and convenient features like high-powered LED lighting, a slim, space-saving ice maker, and a water and ice dispenser tall enough to fill pitchers easily, this refrigerator is a star in any kitchen. Both compartments have lots of shelves, bins and drawers, so there are enough spots to keep all your favorite frozen and chilled foods organized and easy to find.",Digital,Yes,yes,Yes,Yes,Yes,Side-by-Side,Water|Crushed Ice|Cubed Ice,7.0 cubic feet,65.625 inches,Yes,,
111,012505641374,http://www.bestbuy.com/site/frigidaire-16-3-cu-ft-top-freezer-refrigerator-black/8023064.p?id=1219687157894&skuId=8023064&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8023064,Frigidaire - 16.3 Cu. Ft. Top-Freezer Refrigerator - Black,FFTR16B2RB,Frigidaire,499.99,2.99,60.0,10.71,24985.0,19.0,4.3,Black,Store Pickup:,Delivery: Most Areas,,Analog temperature controls; glass shelves; humidity-controlled crisper; gallon-size door storage; dairy center,"Frigidaire top-freezer refrigerator: Keep your groceries fresh and neatly organized by storing them inside this top-freezer refrigerator, which features analog controls for easy temperature regulation. House your produce inside the humidity-controlled crisper, and easily access jugs of milk with gallon-size door storage.",Analog,Optional,2,Yes,No,Yes,Top Freezer,Not Applicable,3.7 cubic feet,,,,
112,883049244617,http://www.bestbuy.com/site/whirlpool-25-4-cu-ft-side-by-side-refrigerator-with-thru-the-door-ice-and-water-black/8245056.p?id=1218866284734&skuId=8245056&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8245056,Whirlpool - 25.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Black,WRS325FDAB,Whirlpool,1199.99,2.99,0.0,0.0,25218.0,358.0,4.2,Black,Store Pickup:,Delivery: Most Areas,,"Mechanical temperature controls; Accu-Chill temperature management system; SpillGuard shelves; gallon-size door bins; meat, crisper and snack pans; freezer bin","Keep your groceries neatly stashed in this Whirlpool WRS325FDAB 25.4 cu. ft. side-by-side refrigerator, which features slide-out SpillGuard shelves and adjustable gallon-size door bins to help keep contents organized and accessible.",Analog,25.4 cubic feet,yes,,Yes,No,Side-by-Side,Water,,68.88 inches,Yes,,
113,048231786225,http://www.bestbuy.com/site/lg-22-7-cu-ft-counter-depth-4-door-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/8579963.p?id=1219350935563&skuId=8579963&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8579963,LG - 22.7 Cu. Ft. Counter-Depth 4-Door French Door Refrigerator with Thru-the-Door Ice and Water - Stainless Steel,LMXC23746S,LG,2994.99,2.99,705.0,19.05,25631.0,18.0,4.9,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Smooth-touch controls; Smart Cooling Plus system; 2.8 cu. ft. CustomChill drawer; 4 SpillProtector shelves; 2 humidity-controlled crispers; 6 door bins,"LG 22.7 Cu. Ft. Counter-Depth 4-Door French Door Refrigerator with Thru-the-Door Ice and Water: This French door refrigerator's counter depth design adds a seamless, built-in look to your kitchen. The 3-tier bottom freezer makes it easy to organize and find frozen foods.",Digital,Yes,yes,Yes,Yes,Yes,French Door,Water|Cubed Ice,9.2 cubic feet,68.75 inches,Yes,,
114,012505638442,http://www.bestbuy.com/site/frigidaire-20-5-cu-ft-top-freezer-refrigerator-stainless-steel/8733554.p?id=1219365672634&skuId=8733554&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8733554,Frigidaire - 20.5 Cu. Ft. Top-Freezer Refrigerator - Stainless Steel,FFTR2131QS,Frigidaire,879.99,2.99,0.0,0.0,25768.0,57.0,4.0,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Analog independent temperature controls; 2 SpillSafe sliding glass shelves; 2 Store-More humidity-controlled crisper drawers; dairy bin; deli drawer; gallon-size door bin; garage- and icemaker-ready,Frigidaire 20.5 Cu. Ft. Top-Freezer Refrigerator: Keep groceries chilled and contain accidental spills with raised shelf edges in this Frigidaire refrigerator. The humidity-controlled crisper drawers keep food fresh.,Analog,Optional,yes,Yes,No,Yes,Top Freezer,Not Applicable,5.1 cubic feet,68.625 inches,,,
115,084691261049,http://www.bestbuy.com/site/ge-25-4-cu-ft-frost-free-side-by-side-refrigerator-with-thru-the-door-ice-and-water-slate/8748045.p?id=1219366047997&skuId=8748045&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8748045,GE - 25.4 Cu. Ft. Frost-Free Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Slate,GSE25HMHES,GE,1349.99,2.99,250.0,15.63,25778.0,42.0,4.7,Slate,Store Pickup:,Delivery: Most Areas,,Electronic touch controls; 4 electronic temperature sensors; spill-proof glass shelves; multilevel drawers; Clear Look door bins; glass freezer shelves,"Store your groceries in this GE GSE25HMHES side-by-side refrigerator, which features adjustable, slide-out, spill-proof glass shelves that let you customize interior space, easily access stored food items and quickly wipe away small spills.",Electronic,Yes,yes,Yes,Yes,Yes,Side-by-Side,Water|Cubed Ice,9.7 cubic feet,69 inches,Yes,,
116,887276038452,http://www.bestbuy.com/site/samsung-19-4-cu-ft-french-door-refrigerator-stainless-steel/8773002.p?id=1219365673283&skuId=8773002&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8773002,Samsung - 19.4 Cu. Ft. French Door Refrigerator - Stainless Steel,RF20HFENBSR,Samsung,1349.99,2.99,250.0,15.63,25797.0,55.0,4.0,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Digital controls; Twin Cooling System; Surround Air Flow technology; Power Freeze and Cool options; 3 tempered-glass shelves; 2 humidity-controlled crispers; 2 gallon-size door bins; filtered icemaker,Samsung 19.4 Cu. Ft. French Door Refrigerator: Keep your fruits and vegetables fresh for longer with this bottom-freezer refrigerator's powerful cooling system and optimized produce crisper drawers.,Digital,Yes,yes,Yes,No,Yes,French Door,Not Applicable,6.6 cubic feet,69.88 inches,Yes,,
117,084691259008,http://www.bestbuy.com/site/ge-15-5-cu-ft-frost-free-top-freezer-refrigerator-stainless-steel/8822127.p?id=1219371330976&skuId=8822127,8822127,GE - 15.5 Cu. Ft. Frost-Free Top-Freezer Refrigerator - Stainless Steel,GIE16GSHSS,GE,779.99,21.66,0.0,0.0,25831.0,3.0,4.3,Stainless Steel,Store Pickup: Not Available,Delivery: Most Areas,,"ENERGY STAR Certified
Up-front temperature controls; 2 adjustable, spill-proof glass shelves; 2 adjustable-humidity drawers; 2 gallon-size door shelves; spill-proof freezer floor; factory-installed icemaker","This 15.5 cu. ft. GE GIE16GSHSS top-freezer refrigerator features up-front controls, so you can easily adjust the internal temperatures to suit your storage needs. The clear snack drawer provides an ideal space for storing frequently accessed food items.",Analog,Yes,yes,Yes,Yes,Yes,Top Freezer,Not Applicable,3.9 cubic feet,64.25 inches,No,,
118,084691261230,http://www.bestbuy.com/site/ge-22-7-cu-ft-frost-free-french-door-refrigerator-stainless-steel/8968393.p?id=1219383302764&skuId=8968393,8968393,GE - 22.7 Cu. Ft. Frost-Free French Door Refrigerator - Stainless Steel,GNS23GSHSS,GE,1599.99,23.33,0.0,0.0,25891.0,34.0,4.7,Stainless Steel,Store Pickup: Not Available,Delivery: Most Areas,,Upfront electronic temperature controls with digital display; 3 electronic temperature sensors; multiflow air system; 3 glass shelves; 2 clear drawers; quick-freeze shelf,"With 2 clear drawers, 3 glass shelves and 5 gallon-size door bins, this GE GNS23GSHSS French door refrigerator provides ample space for storing your favorite foods. The internal dispenser lets you enjoy chilled, filtered water.",Electronic,Yes,yes,Yes,No,No,French Door,Not Applicable,6.9 cubic feet,67.75 inches,Yes,,
